,SMILES,False positives,True positives,FP - filter,TP - filter,Score - filter
0,C(=C/c1ccccc1)\CSc1nnc(-c2cccnc2)n1Cc1ccco1,1.0,0.0,0.0,1.0,0.0
1,C/C(=C\c1ccccc1)C(=O)n1nnc2ccccc21,-0.0,1.0,1.0,0.0,1.0
2,C/C(=N/NC(=O)CNC(=O)Cc1ccccc1)c1ccc(Cl)cc1,1.0,0.0,1.0,0.0,1.0
3,C/C(=N/Oc1nc(C)cc(C)n1)c1ccc(Br)cc1,1.0,0.0,0.0,0.0,0.0
4,C/C(=N\NC(=S)NCc1ccccc1)c1ccc(C#N)cc1,1.0,0.0,1.0,0.0,1.0
5,C/C(=N\NC(=S)NCc1ccccc1)c1ccc(Cl)cc1,1.0,0.0,1.0,0.0,1.0
6,C/C(=N\OC(=O)C1CC1)C1CC1c1ccc(F)cc1,1.0,0.0,1.0,0.0,1.0
7,C/C(=N\OC(=O)NC(C)C)c1sc(-c2ccc(Cl)cc2)nc1C,1.0,0.0,1.0,0.0,1.0
8,C/C(CC(=O)NCCCN1CCOCC1)=N\NC(=O)COc1ccc(C)cc1,1.0,0.0,1.0,0.0,1.0
9,C/C(Cc1ccccc1)=N\NC(=O)CNC(=O)c1ccc(Cl)cc1Cl,1.0,0.0,1.0,0.0,1.0
10,C/C(Cc1ccccc1)=N\NC(=O)CNC(=O)c1ccccc1Cl,1.0,0.0,1.0,0.0,1.0
11,C1=C(c2ccccc2)CCN(c2nc3ccccc3n3cnnc23)C1,1.0,0.0,0.0,1.0,0.0
12,C=C(C)CC1N(c2cccc(OC)c2)C(=O)C2C(C(=O)O)C3C=CC21O3,1.0,0.0,0.0,1.0,0.0
13,C=C(C)CN=c1scc(C)n1/N=C/c1ccco1,1.0,0.0,0.0,0.0,0.0
14,C=C(C)CNC(=S)N/N=C(\C)c1cccc(NC(C)=O)c1,1.0,0.0,1.0,0.0,1.0
15,C=C(C)CNC(=S)Nc1cccc(N)n1,1.0,0.0,0.0,0.0,0.0
16,C=C(C)COc1ccc(-c2[nH]ncc2Oc2cccc(OC)c2)c(O)c1,1.0,0.0,0.0,1.0,0.0
17,C=C(C)COc1ccc(-c2ncncc2Oc2ccc(OC)cc2)c(O)c1,1.0,0.0,0.0,1.0,0.0
18,C=C(C)CSc1nnc(-c2ccc(OC)cc2)n1N,1.0,0.0,0.0,1.0,0.0
19,C=C(C)Cn1c(=O)c(NC(=O)c2ccccc2)c2n(c1=S)CCC2,1.0,0.0,0.0,0.0,0.0
20,C=C(C)c1cccc(C(C)(C)NC(=O)Nc2ccc(C(C)=O)cc2)c1,1.0,0.0,0.0,1.0,0.0
21,C=CC#CC1(O)CC(C)N(C)CC1C,1.0,0.0,1.0,0.0,1.0
22,C=CCN(C(=O)Nc1ccc2c(c1)nc(C)n2C)c1ccccc1,1.0,0.0,0.0,1.0,0.0
23,C=CCNC(=O)/C(C#N)=C\c1cc(Cl)c(O)c(OCC)c1,-0.0,1.0,1.0,0.0,1.0
24,C=CCNC(=S)N/N=C/c1ccc(C)c([N+](=O)[O-])c1,1.0,0.0,1.0,0.0,1.0
